customer_set,route_source,solver_seed,beta0_total_cost,beta0_route_hash,run_dir
B,Fusion-rho025_seed3_B_Fusion-rho025_seed3,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed3_B_Fusion-rho025_seed3
B,Fusion-rho025_seed3_B_Fusion-rho025_seed3,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed3_B_Fusion-rho025_seed3
B,Fusion-rho025_seed3_B_Fusion-rho025_seed3,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed3_B_Fusion-rho025_seed3
B,Fusion-rho025_seed3_B_Fusion-rho025_seed3,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed3_B_Fusion-rho025_seed3
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
A,Fusion-rho025_seed4_A_Fusion-rho025_seed4,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_A_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
B,Fusion-rho025_seed4_B_Fusion-rho025_seed4,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed4_B_Fusion-rho025_seed4
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
A,Fusion-rho025_seed5_A_Fusion-rho025_seed5,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_A_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
B,Fusion-rho025_seed5_B_Fusion-rho025_seed5,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed5_B_Fusion-rho025_seed5
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
A,Fusion-rho025_seed6_A_Fusion-rho025_seed6,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_A_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
B,Fusion-rho025_seed6_B_Fusion-rho025_seed6,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed6_B_Fusion-rho025_seed6
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
A,Fusion-rho025_seed7_A_Fusion-rho025_seed7,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_A_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
B,Fusion-rho025_seed7_B_Fusion-rho025_seed7,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed7_B_Fusion-rho025_seed7
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
A,Fusion-rho025_seed8_A_Fusion-rho025_seed8,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_A_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
B,Fusion-rho025_seed8_B_Fusion-rho025_seed8,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Fusion-rho025_seed8_B_Fusion-rho025_seed8
